Performance_Category,Operator_Count,Total_Trips,Min_OnTime_Pct,Max_OnTime_Pct,Mean_OnTime_Pct,Median_OnTime_Pct,Pct_of_Operators,Pct_of_Trips
Excellent,40,53555,90.12345679012346,98.32833261894557,93.79393549791817,93.46770210197025,13.377926421404682,15.856120986747829
Good,115,134889,80.08270158511371,89.8961284230406,84.7974339811856,84.73389355742297,38.46153846153847,39.93681829486375
Average,82,99107,70.04754358161648,79.94791666666666,75.69706416125888,75.69937337078346,27.424749163879596,29.342779995025996
Below Average,62,50205,20.0,69.9607329842932,58.687735441070515,60.79130895601483,20.735785953177256,14.864280723362427
