OPERATOR,ADJUSTED_ONTIME_COUNT,ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,Total_Trips,OnTime_Pct,Early_Pct,Late_Pct,Performance_Category
1705,459,7,153,619,74.1518578352181,1.1308562197092082,24.717285945072696,Average
2138,607,19,193,819,74.11477411477412,2.31990231990232,23.565323565323563,Average
1842,1090,45,336,1471,74.09925220938138,3.059143439836846,22.84160435078178,Average
2441,442,63,92,597,74.03685092127303,10.552763819095476,15.41038525963149,Average
1650,1699,15,581,2295,74.03050108932462,0.6535947712418301,25.315904139433552,Average
3031,1504,40,499,2043,73.61722956436613,1.957905041605482,24.424865394028387,Average
1997,873,5,309,1187,73.54675652906487,0.42122999157540014,26.032013479359726,Average
2012,1367,12,482,1861,73.45513164965072,0.6448146157979581,25.900053734551314,Average
2832,1169,63,364,1596,73.24561403508771,3.9473684210526314,22.807017543859647,Average
2792,1005,11,360,1376,73.03779069767442,0.7994186046511629,26.16279069767442,Average
2500,1054,47,345,1446,72.89073305670816,3.250345781466114,23.858921161825727,Average
2590,541,21,181,743,72.8129205921938,2.826379542395693,24.3606998654105,Average
3001,365,15,123,503,72.56461232604374,2.982107355864811,24.45328031809145,Average
2547,740,47,233,1020,72.54901960784314,4.6078431372549025,22.84313725490196,Average
2368,379,14,130,523,72.46653919694073,2.676864244741874,24.8565965583174,Average
2580,668,21,236,925,72.21621621621621,2.27027027027027,25.513513513513512,Average
1237,1456,58,507,2021,72.04354280059377,2.8698664027709055,25.086590796635328,Average
520,1537,25,572,2134,72.02436738519212,1.1715089034676665,26.804123711340207,Average
2693,134,17,36,187,71.65775401069519,9.090909090909092,19.25133689839572,Average
2990,1390,115,436,1941,71.61257083977331,5.92478104070067,22.46264811952602,Average
1742,195,19,59,273,71.42857142857143,6.95970695970696,21.611721611721613,Average
2427,559,110,115,784,71.30102040816327,14.030612244897958,14.668367346938776,Average
2642,460,9,182,651,70.6605222734255,1.3824884792626728,27.956989247311824,Average
2254,518,53,164,735,70.47619047619048,7.210884353741497,22.312925170068027,Average
1815,602,4,249,855,70.4093567251462,0.46783625730994155,29.122807017543863,Average
2448,454,5,186,645,70.3875968992248,0.7751937984496124,28.837209302325583,Average
1814,538,20,207,765,70.32679738562092,2.6143790849673203,27.058823529411764,Average
3103,68,2,27,97,70.10309278350515,2.0618556701030926,27.835051546391753,Average
3142,442,4,185,631,70.04754358161648,0.6339144215530903,29.318541996830426,Average
