ROUTE_ABBR,ADJUSTED_ONTIME_COUNT,ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,Total_Trips,OnTime_Pct,Early_Pct,Late_Pct,Performance_Category,Needs_Improvement
22,22492,631,2065,25188,89.29649039225028,2.5051611878672384,8.198348419882484,Good,False
23,35137,1286,3230,39653,88.61120217890198,3.243134189090359,8.145663632007667,Good,False
50,36309,1207,5113,42629,85.1744117854043,2.8314058504773745,11.994182364118323,Good,False
56,48361,1752,8837,58950,82.0373197625106,2.9720101781170483,14.990670059372349,Good,False
7,13417,433,3417,17267,77.7031331441478,2.507673597034806,19.7891932588174,Average,True
52,37736,1553,10038,49327,76.50171305775741,3.1483771565268515,20.349909785715735,Average,True
3,34516,1382,9590,45488,75.87935279634189,3.038163911361238,21.082483292296867,Average,True
55,42080,1531,16748,60359,69.71619808147915,2.5364900014910785,27.74731191702977,Below Average,True
